QUEST;id_domicilio;ESTRATO;UPA;id_morador;resp_sexo;resp_idade;resp_escolaridade;resp_pea;religiao_kids;raca_resp_kids;D1;D2;D3_A;D3_B;D3_C;D3_D;D3_E;D3_F;D3_G;D3_H;D3_I;D3_outro;D3_outro_desc;D3_J;D4;D5;D6;D7_A;D7_B;D7_C;D7_D;D7_E;D7_F;D7_G;D7_outro;D7_outro_desc;D7_H;E3;E4_A;E4_B;E4_C;E4_D;E4_E;E4_F;E4_G;E5_A;E5_B;E5_C;E5_D;E5_E;E5_F;E5_G;E6_A;E6_B;E6_C;E6_D;E6_E;E6_F;E6_G;E7_A;E7_B;E7_C;E7_D;F1;F3;F4_A;F4_B;F5_A;F5_B;F5_C;F5_D;F5_E;F5_F;F6_A;F6_B;F6_C;F6_D;F6_E;F6_F;F6_G;F6_H;F6_I;F6_outro;F6_outro_desc;F6_J;L1;L2;L3_A;L3_B;L3_C;L3_D;L3_E;L3_F;L3_G;L3_H;L3_I;L3_J;L3_outro;L3_outro_desc;L3_K;L4;AF1_A;AF1_B;AF1_C;AF1_D;sexo_kids;idade_kids;ESC1;raca_kids;M1_A;M1_B;M1_C;M1_D;M1_E;M1_F;M1_outro;M1_outro_desc;M2;M3;M4_A;M4_B;M4_C;M4_D;M4_E;M4_F;M4_G;M4_H;M4_I;M4_J;M4_outro;M4_outro_desc;M4_K;M5;M6_A;M6_B;M7_A;M7_B;M7_C;M7_D;M7_E;M7_F;M7_G;M7_H;M8;N1_A;N1_B;N1_C;N1_D;N1_E;N1_F;N1_G;N1_H;N1_I;N1_J;N1_K;N1_L;N1_M;N1_N;N1_O;N1_P;N1_Q;N1_R;N2_A;N2_B;N2_C;N2_D;N2_E;N2_F;N2_G;N2_H;N3;O1_A;O1_B;O1_C;O1_D;O1_E;O1_outro;O1_outro_desc_1;O1_outro_desc_2;O1_outro_desc_3;O2;O3;O4;O5_A;O5_B;O5_C;O5_D;O5_E;O5_F;O6;O7;O8;P1_A;P1_B;P1_C;P1_D;P1_E;P1_F;P1_G;P1_H;P1_outro;P1_outro_desc;P1_I;P2;P3;R1_A;R1_B;R1_C;R2_A;R2_B;R2_C;R2_D;R2_E;R3_A;R3_B;R3_C;R3_D;U1;U2_A;U2_B;U2_C;U2_D;U2_E;U2_F;U2_G;U3_A;U3_B;U3_C;U3_D;U3_E;U3_F;U3_G;U4_A;U4_B;U4_C;U4_D;U4_E;U4_F;U4_G;U5_A;U5_B;U5_C;U5_D;U5_E;U5_F;U5_G;U6_A;U6_B;U6_C;U6_D;U6_E;U6_F;U6_G;U6_H;T1;T2_A;T2_B;T2_C;T2_D;T2_OUTRO;T3;T4;T5_A;T5_B;T5_C;T5_D;T5_E;T5_F;T5_OUTRO;T6;T7_A;T7_B;T7_C;T7_D;T7_E;T8;T9_A;T9_B;T9_C;T9_D;T9_E;T9_F;T10_A;T10_B;T10_C;T10_D;T10_E;T11_A;T11_B;T11_C;T11_D;T11_E;T11_F;T12_A;T12_B;T12_C;T12_D;T12_E;T12_F;T13_A;T13_B;T13_C;T13_D;T13_E;T13_F;T14;T15_A;T15_B;T15_C;T15_D;T15_E;T15_F;T16;T17;T18;T19_A;T19_B;T19_C;T19_D;T19_E;T19_F;T19_G;T19_H;T19_I;T19_J;T19_OUTRO;T20;T21_A;T21_B;T21_C;T21_D;T21_E;T21_F;T21_G;T21_H;T21_I;T21_J;T21_K;AV1_1;AV1_2;AV1_3;AV1_4;AV2_1;AV2_2;AV2_3;AV2_4;AV3_1;AV3_2;AV3_3;AV3_4;AV3_5;AV3_6;AV4;AV5;Peso;cod_regiao;area;RENDA_FAMILIAR;CLASSE_2008;CLASSE_2015
11190;11190;27;109;4;2;37;10;1;4;4;0;99;0;1;1;0;0;0;1;0;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;2;9;4;4;0;0;0;0;0;0;0;99;0;99;0;1;0;0;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;99;99;99;99;99;99;99;99;99;99;3;2;5581,446006305;2;1;1;8;6
11218;11218;27;109;2;1;66;6;4;16;2;1;2;1;1;1;1;0;1;0;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;14;6;2;0;0;0;1;0;0;0;99;99;2;1;0;1;1;1;1;1;0;1;1;0;99;99;99;0;0;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;2;1;8127,76522703479;2;2;2;6;5
11226;11226;27;109;1;2;40;8;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;98;98;98;98;98;98;98;98;98;0;99;99;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;0;1;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;1;13;4;98;0;0;1;0;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;99;99;0;1;0;0;1;0;0;0;12;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;99;99;2;4;1;1;5;99;99;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;1;1;0;0;99;99;0;0;2;3;3;0;1;0;0;1;0;0;1;0;1;3;1;1;1;3;2;97;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;97;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;1;1;0;1;0;0;0;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;1;0;1;0;1;0;0;0;0;0;1;0;2;2;2776,38516642593;2;1;1;8;6
11227;11227;27;109;1;2;38;8;3;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;0;0;99;99;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;1;1;1;1;0;2;3;3;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;99;99;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;14;8;3;1;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;1;0;0;0;0;0;0;12;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;99;99;4;99;2;2;1;2;99;1;1;0;1;0;0;99;99;99;1;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;99;99;0;0;3;3;3;0;1;1;1;1;1;0;1;1;1;3;1;1;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;0;99;99;99;99;99;97;0;99;99;99;99;99;99;99;99;98;98;98;98;98;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;5552,77033285187;2;1;2;8;6
11294;11294;78;494;3;1;62;8;3;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;0;0;99;99;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;1;1;2;0;1;0;1;0;2;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;99;99;1;1;1;1;0;0;1;0;0;0;1;0;0;99;99;1;0;0;0;1;1;14;10;3;0;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;0;0;6;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;3;1;3;1;1;1;1;1;0;1;0;0;1;0;0;99;99;99;1;5;3;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;99;99;1;1;3;3;3;0;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;99;99;99;99;99;99;99;99;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;2;31012,6196026901;2;1;2;6;5
11354;11354;78;495;2;2;30;10;1;13;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;99;99;99;99;99;99;99;99;99;99;99;0;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1;0;1;0;1;0;0;0;0;0;0;1;0;0;99;99;1;1;1;1;0;1;11;6;3;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;0;0;0;0;8;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;99;99;2;99;2;1;1;1;99;1;1;0;1;0;0;99;99;99;1;4;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;99;99;1;0;1;3;3;0;1;0;0;0;1;0;1;1;1;1;1;1;1;3;3;3;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;98;98;98;98;98;99;98;98;98;98;98;98;0;0;0;0;1;98;98;98;98;98;98;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;18280,3229712511;2;1;2;6;5
11355;11355;78;495;2;2;21;9;1;13;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;3;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;97;97;97;2;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;2;17;6;4;0;1;0;0;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;99;99;1;1;1;1;0;0;1;1;12;0;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;99;99;98;2;99;99;1;1;99;1;1;0;1;0;0;99;99;99;1;6;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;99;99;0;0;3;3;3;1;1;1;1;1;99;99;99;99;3;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;1;0;0;0;0;0;0;1;0;0;3;1;11006,7394384701;2;1;2;6;5
11438;11438;78;496;5;1;42;7;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;2;1;0;0;0;0;0;0;0;99;99;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;1;3;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;99;99;1;1;1;1;1;0;1;1;0;0;0;0;0;99;99;0;1;1;1;0;2;17;10;2;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;0;1;1;7;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;99;99;3;3;1;3;1;1;99;1;1;1;1;1;0;99;99;99;2;5;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;99;99;1;1;3;3;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;3;1;19529,156757287;2;1;4;6;5
11461;11461;78;497;3;2;45;6;1;4;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;99;99;99;99;99;99;99;99;99;99;99;97;3;3;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;99;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;2;15;6;3;1;1;1;1;1;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;1;1;1;1;0;1;1;14;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;99;2;5;1;99;4;1;0;1;0;0;1;0;0;99;99;99;1;6;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;0;99;99;0;0;3;3;3;0;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;98;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;6679,15425916795;2;1;1;8;6
11522;11522;78;498;2;1;36;8;1;13;2;0;99;1;1;1;1;1;1;1;0;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;1;16;6;2;0;0;0;0;0;0;0;99;0;99;1;0;1;1;1;0;1;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;99;99;99;99;99;99;99;99;99;99;3;2;6023,18605815141;2;1;2;8;6
11523;11523;78;498;1;2;51;10;1;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;2;1;0;0;0;0;0;0;0;99;99;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;3;1;3;1;1;1;1;0;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;12;7;3;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;1;1;1;0;0;0;1;9;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;99;1;1;1;1;1;1;0;1;0;1;1;1;0;99;99;99;1;97;3;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;99;99;0;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;0;99;99;99;99;99;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;99;1;0;0;0;0;0;0;0;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;6895,63179187941;2;1;1;6;5
11526;11526;78;498;3;1;35;10;1;15;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;0;0;99;99;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;98;1;3;98;3;1;3;1;1;1;1;0;3;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;99;99;0;1;1;1;1;0;1;0;1;0;0;0;0;99;99;0;1;0;0;0;2;14;9;3;1;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;0;0;1;0;0;0;0;0;1;5;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;99;3;2;99;99;1;99;3;0;0;0;0;0;1;0;99;99;99;5;98;98;0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;0;99;99;1;1;3;3;3;1;0;1;1;0;1;1;1;1;1;2;1;98;2;3;1;2;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2;1;22119,150982232;2;1;3;6;5
11548;11548;78;499;6;2;37;12;1;5;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;3;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;2;2;3;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;99;99;0;1;1;1;1;0;1;0;0;0;0;0;0;99;99;0;0;0;0;1;2;13;7;3;0;1;0;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;0;0;1;4;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;99;2;2;2;99;99;2;1;0;1;1;0;1;1;0;99;99;99;2;5;3;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;99;99;1;1;3;2;3;1;0;1;1;0;1;1;1;1;1;1;3;2;2;3;1;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;99;1;0;1;1;1;1;0;1;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;26496,4160784025;2;1;4;4;3
11581;11581;78;500;4;2;46;10;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;0;0;99;99;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;3;1;3;1;3;1;1;1;1;0;1;2;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;99;99;0;1;1;1;0;0;1;0;0;0;0;0;0;99;99;0;0;0;0;1;2;10;5;1;1;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;0;1;1;6;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;99;99;3;99;99;99;2;1;99;1;1;0;1;0;0;99;99;99;1;5;3;1;1;0;0;0;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;7671,62479918341;2;1;5;4;3
11583;11583;78;500;2;1;42;7;3;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;1;0;1;1;0;0;0;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;1;1;1;1;0;2;2;3;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;10;5;2;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;0;0;1;1;0;0;0;6;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;99;4;4;99;99;2;3;3;99;1;0;0;0;0;0;99;99;99;1;2;1;1;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;1;1;1;0;1;0;0;1;1;1;1;1;1;3;3;3;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;1;0;1;0;0;0;0;0;0;0;0;0;97;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;6310,30001269483;2;1;3;6;5
11617;11617;78;501;1;2;29;10;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;0;1;1;0;99;99;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;0;2;2;3;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;99;99;0;1;1;1;1;1;1;1;1;1;1;1;0;99;99;0;0;0;0;1;1;9;4;2;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;1;1;0;1;1;1;0;1;8;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;3;1;1;1;99;1;0;0;1;0;0;99;99;99;1;2;1;1;1;0;1;0;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;1;0;0;0;1;0;0;0;0;0;3;3;8950,08352679815;2;1;1;6;6
